"B","T","E","X","X9_ane","X10_ane","X13_ane","X14_ane","X1_M_2_PA","BTM","FormicAcid","aceticacid","NonaDecanoicAc","Tot_OcNoDecana","TYPE","SAISON","Campagne","Localisation"
0.251253012940765,1.20105858290835,0.532214018036619,0.630047007406593,0.611371118206829,1.09929732434187,0.280195937555389,0.636308000847115,0.46265737543989,1.08835609819894,-0.433015084655577,0.295688649354431,-0.218263652982465,-1.51688573798984,"urbain","hiver","CA3","P11"
0.428784463387028,0.175239819534038,-0.486654077258734,-0.54638728479963,-0.374321079971088,0.573967858246092,-0.651618720650026,0.00174747506028995,-0.629764559256688,-1.81717472713554,-0.922532563185771,0.220280861601263,-0.385447619907612,-0.0652531048711321,"rural","hiver","CA3","P27"
0.421961477106993,0.963641781330168,0.750339941815874,0.49725726406635,-0.21527483032223,0.59841249790293,0.0337037517340639,0.553958045985404,0.710535828510976,-0.239042821767452,-2.00097438516592,0.632513477958856,-0.448482669274368,-0.714976455454139,"urbain","hiver","CA3","P28"
0.415779582589652,0.963303941627291,0.506948979495133,0.576372377959005,0.021048515215358,0.904400443258263,0.276710456263768,0.745380680609226,1.22812973367256,0.175783803595697,-0.132598329174699,0.725369689439302,-0.0913886464931227,0.0736618380288537,"urbain","hiver","CA3","P25"
0.443866798691408,0.813159422178103,0.237626157920417,0.128713793331897,0.0611854970088083,0.532099105181396,-0.271389238794209,0.368008385096395,-0.218047931131616,-0.899836449482432,-0.234080967662279,0.615116844147263,-1.14038130310845,-0.776644735780269,"compostage","hiver","CA3","P02"
0.330741429520345,0.940479202268838,0.293757496584182,0.156052563461254,0.0329485445318639,0.628467605545906,-0.156561633979679,0.519799477253367,-0.108917711321867,-0.44045541626101,0.205828932280266,0.843259774253243,-0.0300386798917718,-0.554292018326405,"compostage","hiver","CA3","P01"
0.176301814173148,0.384514398688271,-0.207436191245299,-0.238194160781947,-0.351291224969409,0.501636287604304,0.110800017253808,0.511813412558869,-0.235706265287974,0.257785166525736,0.0636494239099131,0.160314529577238,0.153281423295075,0.0171527599639518,"rural","hiver","CA3","P12"
0.506717980327596,-0.335590254296383,0.0635178922827784,0.38542427130344,0.387452296444186,0.114872518378292,0.476078491917367,0.602224049065264,0.13959626946379,-0.237947050779137,0.657607225019625,-0.0303174956816415,1.1296849696532,0.592090592372188,"rural","ete","CA4","P19"
0.778799996378684,-0.547882134417899,-0.273894409235867,-0.19081711316074,0.399215499436443,0.279295152536535,0.359142591578165,0.527502392260693,-0.268375936307032,-0.382537642704323,0.747433631348381,0.0920598632950399,1.19123327686776,-0.171706495983569,"urbain","ete","CA4","P21"
0.744485115257914,-0.710228893783134,0.218965542745777,0.10698861916488,0.460053668231784,1.01879616168406,1.22007118233258,1.02828975193489,1.05536876836239,0.717795981274502,0.472415669345667,0.638209375797155,1.26033571181162,-0.2558482107719,"urbain","ete","CA4","P18"
0.477658045902477,-0.347509906932834,0.668027203711983,0.772273979668888,0.317631373636149,0.410816800034645,0.79410618569952,0.747757066677591,0.531446265876082,0.237526336379524,0.498631533647387,-0.0448896359600673,1.14494698753115,0.10995996604601,"urbain","ete","CA4","P17"
-2.26455617432316,-1.62782695621089,0.852389333277937,-0.993684274731012,2.90324694850946,-0.478316814801015,0.393046395956423,0.577464832006283,-2.47740703184768,-1.35668130281988,1.20889231907323,0.747046484849772,0.38332616551743,1.05099781753814,"urbain","ete","CA4","P20"
0.980066243340164,-0.638184864840571,0.424825039259668,0.541238715828964,0.041691554156869,0.207732205548156,0.481749824314242,0.492967559895894,0.588851878252544,0.0906783224141545,2.01076238166626,0.834110367227689,1.16074935792337,0.720477087011596,"urbain","ete","CA4","P05"
0.596878664732998,-0.647898568615494,-3.14871309328577,-2.37192692300604,-0.28901287694724,0.942872893927931,0.725883733619567,0.725033838292758,1.60180836478908,1.34438812204678,0.684156123281041,0.0443356518750346,1.1990869929929,0.639936234210709,"rural","ete","CA4","P06"
0.561263077401699,-0.912860701075271,-0.736974148403185,-0.317228025652824,0.779120408707476,0.610562121491101,0.481859041645942,0.669492931571835,0.270490955806916,0.373491202634325,0.558826932769063,-0.00505901618068873,1.2641591512363,0.604617804595912,"rural","ete","CA4","P07"
0.429712390095009,-4.3234969181228,-1.03728108589571,-0.947637635613802,0.0493826063176467,0.00514501150691888,0.495010654292179,0.646325076781784,-0.233391810717096,-0.528815551403755,0.573785921562442,-0.0626028925984196,1.20159867103486,0.659572953360746,"rural","ete","CA4","P03"
0.852991264790955,-1.02069433869948,0.0494516792727642,0.28236720210107,0.307216802236173,-0.0008625417040707,0.114651756864611,0.358967988519254,0.152997701598282,-0.383582231673166,0.675548891893996,-0.0148722183438917,0.957677979042091,-0.691794848039238,"rural","ete","CA4","P08"
0.482704615990747,-0.143891065510717,-0.0687998699531706,0.169078930801607,0.486876287088462,0.561212452138036,-0.236943570893756,0.696785075695681,0.468413375712579,0.28496881206778,0.834791059082441,0.618896146236529,1.2878183561927,0.0446322541515718,"rural","ete","CA4","P13"
0.678706812441272,-1.70856080783398,-1.28707239624147,-1.15455726517139,0.25013203675669,-0.0543521324123201,-0.61773822274932,0.623318205537847,-0.37584346475527,-0.602678900057416,0.618972341361529,-0.0454823607224395,1.13303513491188,0.337608043910555,"rural","ete","CA4","P14"
0.833571172601855,0.386510511009849,0.127634413334172,0.567165901806198,0.683899500882481,0.735337323820351,0.409474205995179,0.694660607614068,0.854566790672183,1.0420243523866,0.648052916892743,0.380009013791368,1.41581792513169,0.545693311121363,"urbain","ete","CA4","P15"
0.877647432175155,-0.576819117583866,-0.17928818086907,0.255260803956466,0.181146320369673,-1.399132032094,1.03103021489575,0.00612379369774127,0.16721039432324,-1.2414786403425,-0.837039269132337,1.60671994655556,0.0294351251135731,1.00125819915359,"rural","ete","CA4","P04"
0.795464507830669,-0.927597535267026,-0.0487330120337467,0.349645152008624,-0.203499685455089,-2.34508243781276,0.53662142165218,0.578273374448956,0.754702865713831,-0.566427202390135,0.861168014220579,0.406933120516564,0.839650623901863,0.277463576989448,"sourceindustrie","ete","CA4","P09"
0.641649384842483,-0.0195863641749766,0.923866243766652,1.31477414324176,0.823446919490566,0.793001314862555,0.490542355300104,0.67717110885792,0.6620231099468,0.855575273738078,0.887781407983622,0.0223593485552252,1.0933604563975,0.217109021109314,"urbain","ete","CA4","P16"
0.649964918812956,-0.888743440023187,-0.451300784964091,0.0393914929288588,0.524611819170866,0.514668613804728,0.444550921119181,0.574401664301637,0.142375986924452,0.172141180743035,1.35294678677042,0.383376738418345,1.23548846804789,0.311124376685005,"urbain","ete","CA4","P32"
0.963565814404622,0.631505654746541,0.499661669983141,0.878113120305532,0.576784421464041,0.713396988083028,0.356145628714879,0.577581248704879,1.27732205748582,1.15473016002606,0.673545677182604,0.106110652581734,0.507394825711944,0.380182084946784,"urbain","ete","CA4","P33"
